Model,Dataset,Total Prompt Tokens,Avg Prompt Tokens,All Prompt Tokens,Cold Start TTFT (s),Avg TTFT (s),All TTFTs (s),Avg Prefill TPS,Avg Decode TPS,All Decode TPS,Dataset Peak Memory (MB)
llama3.2-3b-q5_k_m.gguf,MMLU,3038,151.9,"119, 193, 227, 262, 98, 159, 201, 109, 119, 211, 134, 112, 199, 106, 149, 161, 114, 109, 116, 140",21.781460246013012,6.584050519498851,"5.188, 7.788, 9.992, 10.961, 2.560, 7.605, 8.913, 21.226, 3.428, 6.814, 7.923, 6.934, 6.509, 2.867, 4.426, 4.872, 3.175, 2.924, 3.336, 4.241",27.75975027066624,4.39888005398957,"4.39, 4.40, 4.41, 4.40, 4.42, 4.41, 4.42, 4.39, 4.40, 4.39, 4.41, 4.40, 4.41, 4.39, 4.40, 4.39, 4.38, 4.39, 4.36, 4.42",3044.40625
llama3.2-3b-q5_k_m.gguf,ARC,2376,118.8,"108, 123, 115, 132, 152, 155, 152, 117, 141, 92, 104, 98, 108, 104, 81, 81, 135, 125, 141, 112",-,3.7071163414490003,"3.070, 3.558, 3.252, 3.934, 7.350, 4.743, 4.674, 3.435, 4.220, 2.437, 2.898, 2.571, 3.034, 2.889, 1.871, 1.870, 4.011, 3.515, 4.117, 6.693",34.108737714812705,4.390149598519537,"4.40, 4.39, 4.40, 4.38, 4.36, 4.39, 4.40, 4.39, 4.39, 4.39, 4.40, 4.37, 4.40, 4.40, 4.40, 4.40, 4.39, 4.34, 4.40, 4.39",3055.37109375
llama3.2-3b-q5_k_m.gguf,GSM8K,2273,113.65,"118, 81, 104, 89, 163, 109, 96, 120, 156, 112, 113, 116, 121, 112, 104, 145, 105, 107, 83, 119",-,3.172018770498835,"3.259, 1.985, 2.791, 2.303, 4.954, 3.040, 2.516, 3.405, 4.749, 3.121, 3.204, 3.263, 3.501, 3.104, 2.805, 4.398, 2.887, 2.877, 1.955, 3.324",36.35758665402705,4.376336260835425,"4.41, 4.40, 4.33, 4.41, 4.34, 4.39, 4.39, 4.36, 4.32, 4.40, 4.39, 4.40, 4.40, 4.36, 4.40, 4.34, 4.32, 4.37, 4.41, 4.38",3057.4140625
llama3.2-3b-q5_k_m.gguf,HumanEval,2814,140.7,"164, 155, 125, 159, 157, 132, 152, 133, 150, 140, 182, 116, 142, 110, 99, 108, 110, 207, 128, 145",-,3.925808831448376,"5.041, 4.219, 3.410, 4.562, 4.373, 3.415, 4.153, 3.756, 4.151, 3.531, 5.649, 3.018, 3.851, 2.904, 2.323, 2.703, 2.716, 7.083, 3.490, 4.169",36.61492901266131,4.328187161780673,"4.30, 4.32, 4.35, 4.33, 4.33, 4.28, 4.28, 4.37, 4.32, 4.28, 4.31, 4.36, 4.36, 4.37, 4.39, 4.35, 4.38, 4.28, 4.31, 4.30",3062.77734375
llama3.2-3b-q4_k_m.gguf,MMLU,3038,151.9,"119, 193, 227, 262, 98, 159, 201, 109, 119, 211, 134, 112, 199, 106, 149, 161, 114, 109, 116, 140",2.3772148079879116,3.3811905107497298,"2.534, 4.518, 5.447, 6.423, 1.894, 3.586, 4.696, 2.187, 2.362, 5.025, 2.895, 2.318, 4.695, 2.102, 3.280, 3.644, 2.339, 2.180, 2.422, 3.077",46.12051677699623,6.721477277559049,"6.62, 6.83, 6.56, 6.76, 6.74, 6.76, 6.77, 6.74, 6.52, 6.76, 6.73, 6.74, 6.79, 6.73, 6.76, 6.71, 6.78, 6.72, 6.72, 6.69",4203.42578125
llama3.2-3b-q4_k_m.gguf,ARC,2376,118.8,"108, 123, 115, 132, 152, 155, 152, 117, 141, 92, 104, 98, 108, 104, 81, 81, 135, 125, 141, 112",-,2.475166893048299,"2.203, 2.601, 2.380, 2.865, 3.408, 3.460, 3.393, 2.402, 3.047, 1.755, 2.086, 1.896, 2.203, 2.099, 1.389, 1.390, 2.952, 2.613, 3.055, 2.308",48.86490005285616,6.725371257424378,"6.69, 6.75, 6.79, 6.75, 6.72, 6.71, 6.75, 6.76, 6.75, 6.77, 6.73, 6.73, 6.74, 6.43, 6.75, 6.72, 6.76, 6.77, 6.69, 6.75",4234.27734375
llama3.2-3b-q4_k_m.gguf,GSM8K,2273,113.65,"118, 81, 104, 89, 163, 109, 96, 120, 156, 112, 113, 116, 121, 112, 104, 145, 105, 107, 83, 119",-,2.3223102532509072,"2.414, 1.426, 2.045, 1.666, 3.672, 2.194, 1.831, 2.503, 3.491, 2.277, 2.318, 2.389, 2.588, 2.283, 2.052, 3.213, 2.085, 2.110, 1.446, 2.445",49.719701387256634,6.692523701994839,"6.69, 6.79, 6.75, 6.76, 6.61, 6.73, 6.75, 6.62, 6.50, 6.75, 6.75, 6.76, 6.62, 6.65, 6.68, 6.64, 6.66, 6.74, 6.75, 6.67",4240.6171875
llama3.2-3b-q4_k_m.gguf,HumanEval,2814,140.7,"164, 155, 125, 159, 157, 132, 152, 133, 150, 140, 182, 116, 142, 110, 99, 108, 110, 207, 128, 145",-,2.8431865781007217,"3.732, 3.099, 2.497, 3.377, 3.193, 2.522, 3.038, 2.541, 3.035, 2.620, 4.062, 2.221, 2.816, 2.094, 1.744, 1.992, 1.986, 4.701, 2.556, 3.038",50.302926087867554,6.598808569498294,"6.54, 6.54, 6.61, 6.58, 6.57, 6.58, 6.50, 6.67, 6.58, 6.61, 6.58, 6.55, 6.62, 6.70, 6.65, 6.74, 6.66, 6.51, 6.59, 6.61",4245.16796875
llama3.2-3b-q3_k_m.gguf,MMLU,3038,151.9,"119, 193, 227, 262, 98, 159, 201, 109, 119, 211, 134, 112, 199, 106, 149, 161, 114, 109, 116, 140",1.4238749010110041,8.333637834452384,"6.199, 11.185, 13.549, 15.963, 4.585, 8.841, 11.738, 5.359, 5.704, 12.461, 7.118, 5.604, 11.625, 5.141, 8.131, 8.987, 5.715, 5.385, 5.863, 7.520",18.780831625647927,5.010568706564692,"4.97, 4.99, 5.01, 5.04, 5.01, 5.02, 5.00, 5.01, 5.00, 5.00, 5.01, 5.02, 5.01, 5.02, 5.03, 5.02, 5.01, 5.00, 5.02, 5.01",2872.91015625
llama3.2-3b-q3_k_m.gguf,ARC,2376,118.8,"108, 123, 115, 132, 152, 155, 152, 117, 141, 92, 104, 98, 108, 104, 81, 81, 135, 125, 141, 112",-,6.046890200048802,"5.301, 6.341, 5.789, 6.994, 8.358, 8.554, 8.364, 5.916, 7.576, 4.187, 5.012, 4.597, 5.301, 5.028, 3.399, 3.395, 7.187, 6.465, 7.587, 5.586",20.04586239806663,5.009602994820106,"5.02, 5.01, 4.97, 5.02, 5.02, 5.01, 5.00, 5.02, 5.03, 5.02, 5.03, 4.99, 4.97, 5.02, 5.01, 5.03, 5.01, 4.99, 5.02, 5.00",2903.2421875
llama3.2-3b-q3_k_m.gguf,GSM8K,2273,113.65,"118, 81, 104, 89, 163, 109, 96, 120, 156, 112, 113, 116, 121, 112, 104, 145, 105, 107, 83, 119",-,5.61803190869905,"5.914, 3.339, 4.951, 3.900, 9.046, 5.304, 4.400, 6.069, 8.557, 5.524, 5.580, 5.780, 6.135, 5.508, 4.948, 7.791, 5.010, 5.144, 3.470, 5.991",20.612699061221047,4.995610322707004,"5.02, 5.03, 5.01, 5.03, 4.96, 4.98, 5.03, 4.94, 4.94, 5.01, 5.03, 5.03, 4.99, 5.02, 5.02, 4.96, 4.96, 4.98, 5.03, 4.94",2906.57421875
llama3.2-3b-q3_k_m.gguf,HumanEval,2814,140.7,"164, 155, 125, 159, 157, 132, 152, 133, 150, 140, 182, 116, 142, 110, 99, 108, 110, 207, 128, 145",-,6.978265087850741,"9.245, 7.696, 6.064, 8.396, 7.808, 6.051, 7.450, 6.136, 7.439, 6.471, 10.026, 5.431, 6.892, 5.017, 4.238, 4.859, 4.889, 11.756, 6.258, 7.442",20.544923811061967,4.93936213688346,"4.94, 4.89, 4.99, 4.93, 4.91, 4.94, 4.90, 4.96, 4.92, 4.94, 4.91, 4.96, 4.94, 4.96, 4.96, 5.04, 5.02, 4.85, 4.90, 4.93",2912.73046875
